nomor,message
050324,njir lanange mok 3 tok
050324, media omitted
050324,inpo daftar e dong
050324,daftar opo
050324,daftar opo meneh
050324,iyo wis tak lebok ne
050324,fathurrobbany
050324,al minta link
050324,pklpp.ums.ac.iddashboard
050324,maksud pra kui opo ya
060324,doc20240306wa0006. file attached
060324,opo kui
060324,baca aja
060324,terlalu banyak malas baca
060324,y
060324,hadehh
060324,stk20240303wa0004.webp file attached
060324,stk20230828wa0002.webp file attached
060324,stk20240301wa0033.webp file attached
060324,stk20240306wa0007.webp file attached
060324,stk20240109wa0006.webp file attached
060324,stk20240124wa0012.webp file attached
060324,pklpp ne bar uts ya?
060324,stk20231218wa0016.webp file attached
060324,stk20240128wa0001.webp file attached
060324,stk20240306wa0009.webp file attached
060324,stk20240306wa0010.webp file attached
060324,stk20240306wa0011.webp file attached
060324,stk20240306wa0012.webp file attached
060324,makasih lo sticker e
060324,stk20231120wa0016.webp file attached
060324,aowkwkwk
060324,iki yg bikin sopo
060324,dari link yang kamu kirim maren2 lo
060324,ouhhh
220324,eh rek mau tanya dong ini kira2 pkl e kapan mulaine ya? soal e aku liat ilkom udah mulai gerak ke ranting2 soal e
220324,hooh i
220324,mulai ramadhan itu udah bisa
220324,moso sehh
220324,katane abis lebaran?
220324,dosennya pernah bilang kalo bulan ramadhan bisa jadi momentum buat kita meramaikan
220324,eh gatau deng
220324,lah yo
220324,lah nek lebaran udah mulai bisa i kapan tepat e?
220324,oalah
220324,mepet sing mau mudik
220324,ketuanya 6282147205734 ya
220324,ojo mepet mepet pas mudik wehh
220324,mari uts ae sisan
220324,ga harus rutin 1 minggu an gitu. bisa ke sana buat survey dulu nanya² trs nanti bisa dimasukin ke laporan kan
220324,ya boleh
220324,iyoo
220324,rutin kalo kita udh punya tempat e
220324,terus pada mau semua gak?
220324,siapp
220324,ya gak papa semua aja
220324,pada mau gaa?
220324,tp tergantung kesepatan bersama saja
220324,kita aja blm rapat
220324,hubungi dosennya dulu ga sih? takut e lek kita langsung gerak tanpa izin kek gimana gitu
220324,jawab guyss
220324,aku ngikut kesepakatan
220324,setujuu
220324,kapan?
220324,kita rapat dulu ae sambil diskusi sama ibuk e dulu jangan langsung gerak takut e kenapa2
220324,bukane tempat e dah ditentuin ya
220324,iya emang udah ditentuin tapi tepat e gimana masih belom paham ini
220324,makanya di rembug dulu
220324,manut
220324,mau rembug an kapan?
220324,pas kuliah biar sekalian pada ada wujudnya
220324,ok
220324,oke
220324,stk20240104wa0029.webp file attached
220324,iyohh
220324,iki bahas opo sih
220324,scroll aja al
220324,pkl
220324,scroll wae
220324,aku lagi main kii
220324,jelasno 6285713550614
220324,hadehh
220324,aku juga mau pulang tgl 5
220324,dino aja dia pinter ngomong
220324,lah gak km aja to?
220324,opo rek aku
220324,koe ae wes fiks koe ketuane
220324,jadi iki bahas survei tempat to
220324,iyohh
220324,6282147205734 pak ketu gimana mau survei kapan
220324,minggu
220324,rapat dulu pakk ga langsung survey survey
220324,pak ketu sudah berbicara tidak boleh membantah
220324,mbuh
220324,jgn ngambek 6281393687161
220324,gpp ngambek kan ada alja
220324,kiwkiwkiw
220324,wkwkwkwk
220324,stk20240114wa0009.webp file attached
220324,bsok pas matkul kemuh langsung konsul sm ibuknya aja gimana
220324,hayolooo 6282147205734  si 6281393687161 ngambek
220324,hayolo
220324,ngambek lo
220324,he em gitu
220324,stk20240322wa0051.webp file attached
220324,gpp nggun nanti di bonceng alja
220324,stk20240118wa0005.webp file attached
280324,jangan lupa nanti ditanyakan ya biar ga abu²
030524,kapan ki pkl e
030524,ga tahu la kapan to mulaine?
030524,setelah kelompok fix itu udh bisa mulai sebener e
030524,tapi kita nunda karena puasa
030524,ya udah kalo di liat dari situ kita udah molor 2 bulan berarti
030524,terus katanya mbak kating juga kalo mau pkl langsung aja kan nah kita mau survey dulu kapan terus prosedur w gimana? masa langsung tiba² datang kesana tanoa ngabarin dulu?
030524,aku nanya kelompok sebelah katanya udh survei tapi baru satu orang aja blm sekelompok ikut
030524,survei nya ke balai desa kan bilang kalo dari mahasiswa ums fakultas fki bla bla mau survei ttg bla bla bla di tempat....
030524,usahakan 1 kelompok sih nek bisa biar tahu semua ga jagain beberapa anak doang tapi kalo misal kepepet ga bisa yaudah gpp
